student_id,course,student_answer,reference_answer,x_dl,x_sem,rubric_data,y_actual
MHS_110,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 10 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,79.0,71.0,"{""pemahaman_teori"": 80, ""logika_algoritma"": 77, ""kerapian_kode"": 79}",78
MHS_111,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 11 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,74.0,73.0,"{""rumusan_masalah_solusi"": 75, ""landasan_teori"": 80, ""desain_sistem"": 79, ""implementasi_program"": 81, ""presentasi_kesimpulan"": 81}",72
MHS_112,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 12 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,58.0,61.0,"{""rumusan_masalah_solusi"": 55, ""landasan_teori"": 59, ""desain_sistem"": 55, ""implementasi_program"": 58, ""presentasi_kesimpulan"": 53}",59
MHS_113,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 13 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,85.0,77.0,"{""rumusan_masalah_solusi"": 82, ""landasan_teori"": 80, ""desain_sistem"": 83, ""implementasi_program"": 82, ""presentasi_kesimpulan"": 78}",79
MHS_114,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 14 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,69.0,72.0,"{""rumusan_masalah_solusi"": 75, ""landasan_teori"": 76, ""desain_sistem"": 69, ""implementasi_program"": 76, ""presentasi_kesimpulan"": 68}",71
MHS_115,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 15 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,55.0,51.0,"{""pemahaman_teori"": 49, ""logika_algoritma"": 52, ""kerapian_kode"": 54}",52
MHS_116,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 16 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,84.0,79.0,"{""analisis_masalah"": 81, ""arsitektur_data"": 82, ""fungsionalitas_program"": 85, ""dokumentasi"": 90}",81
MHS_117,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 17 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,90.0,89.0,"{""analisis_masalah"": 94, ""arsitektur_data"": 96, ""fungsionalitas_program"": 88, ""dokumentasi"": 93}",88
MHS_118,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 18 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,73.0,76.0,"{""rumusan_masalah_solusi"": 78, ""landasan_teori"": 76, ""desain_sistem"": 76, ""implementasi_program"": 76, ""presentasi_kesimpulan"": 76}",75
MHS_119,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 19 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,71.0,67.0,"{""analisis_masalah"": 69, ""arsitektur_data"": 78, ""fungsionalitas_program"": 67, ""dokumentasi"": 75}",69
MHS_120,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 20 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,87.0,97.0,"{""rumusan_masalah_solusi"": 94, ""landasan_teori"": 86, ""desain_sistem"": 92, ""implementasi_program"": 89, ""presentasi_kesimpulan"": 98}",88
MHS_121,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 21 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,88.0,87.0,"{""pemahaman_teori"": 94, ""logika_algoritma"": 91, ""kerapian_kode"": 86}",85
MHS_122,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 22 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,89.0,81.0,"{""pemahaman_teori"": 92, ""logika_algoritma"": 86, ""kerapian_kode"": 89}",87
MHS_123,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 23 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,56.0,56.0,"{""rumusan_masalah_solusi"": 58, ""landasan_teori"": 58, ""desain_sistem"": 65, ""implementasi_program"": 54, ""presentasi_kesimpulan"": 59}",55
MHS_124,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 24 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,82.0,82.0,"{""analisis_masalah"": 82, ""arsitektur_data"": 76, ""fungsionalitas_program"": 77, ""dokumentasi"": 76}",78
MHS_125,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 25 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,63.0,54.0,"{""analisis_masalah"": 65, ""arsitektur_data"": 58, ""fungsionalitas_program"": 61, ""dokumentasi"": 62}",57
MHS_126,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 26 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,73.0,74.0,"{""analisis_masalah"": 73, ""arsitektur_data"": 66, ""fungsionalitas_program"": 67, ""dokumentasi"": 66}",69
MHS_127,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 27 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,86.0,80.0,"{""pemahaman_teori"": 82, ""logika_algoritma"": 81, ""kerapian_kode"": 80}",84
MHS_128,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 28 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,57.0,57.0,"{""rumusan_masalah_solusi"": 68, ""landasan_teori"": 57, ""desain_sistem"": 57, ""implementasi_program"": 65, ""presentasi_kesimpulan"": 58}",55
MHS_129,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 29 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,86.0,80.0,"{""analisis_masalah"": 89, ""arsitektur_data"": 87, ""fungsionalitas_program"": 87, ""dokumentasi"": 82}",86
MHS_130,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 30 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,62.0,63.0,"{""pemahaman_teori"": 54, ""logika_algoritma"": 66, ""kerapian_kode"": 65}",61
MHS_131,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 31 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,92.0,90.0,"{""rumusan_masalah_solusi"": 92, ""landasan_teori"": 95, ""desain_sistem"": 87, ""implementasi_program"": 92, ""presentasi_kesimpulan"": 94}",92
MHS_132,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 32 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,86.0,79.0,"{""analisis_masalah"": 76, ""arsitektur_data"": 89, ""fungsionalitas_program"": 85, ""dokumentasi"": 77}",80
MHS_133,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 33 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,61.0,62.0,"{""rumusan_masalah_solusi"": 54, ""landasan_teori"": 55, ""desain_sistem"": 62, ""implementasi_program"": 56, ""presentasi_kesimpulan"": 58}",57
MHS_134,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 34 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,78.0,85.0,"{""rumusan_masalah_solusi"": 87, ""landasan_teori"": 78, ""desain_sistem"": 85, ""implementasi_program"": 85, ""presentasi_kesimpulan"": 78}",81
MHS_135,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 35 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,82.0,81.0,"{""pemahaman_teori"": 83, ""logika_algoritma"": 84, ""kerapian_kode"": 91}",84
MHS_136,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 36 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,57.0,54.0,"{""analisis_masalah"": 54, ""arsitektur_data"": 66, ""fungsionalitas_program"": 64, ""dokumentasi"": 62}",56
MHS_137,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 37 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,96.0,94.0,"{""analisis_masalah"": 86, ""arsitektur_data"": 97, ""fungsionalitas_program"": 93, ""dokumentasi"": 90}",94
MHS_138,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 38 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,62.0,57.0,"{""pemahaman_teori"": 64, ""logika_algoritma"": 66, ""kerapian_kode"": 63}",61
MHS_139,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 39 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,88.0,82.0,"{""analisis_masalah"": 82, ""arsitektur_data"": 91, ""fungsionalitas_program"": 82, ""dokumentasi"": 91}",83
MHS_140,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 40 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,81.0,84.0,"{""pemahaman_teori"": 88, ""logika_algoritma"": 87, ""kerapian_kode"": 88}",83
MHS_141,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 41 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,54.0,60.0,"{""rumusan_masalah_solusi"": 57, ""landasan_teori"": 49, ""desain_sistem"": 57, ""implementasi_program"": 58, ""presentasi_kesimpulan"": 54}",54
MHS_142,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 42 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,52.0,47.0,"{""pemahaman_teori"": 50, ""logika_algoritma"": 60, ""kerapian_kode"": 56}",54
MHS_143,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 43 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,59.0,64.0,"{""analisis_masalah"": 69, ""arsitektur_data"": 57, ""fungsionalitas_program"": 60, ""dokumentasi"": 70}",64
MHS_144,Struktur Data - Tree & Balanced Tree,Teks jawaban simulasi mahasiswa 44 untuk topik Struktur Data - Tree & Balanced Tree...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Tree & Balanced Tree...,90.0,89.0,"{""pemahaman_teori"": 96, ""logika_algoritma"": 86, ""kerapian_kode"": 86}",90
MHS_145,Struktur Data - Stack & Queue,Teks jawaban simulasi mahasiswa 45 untuk topik Struktur Data - Stack & Queue...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Stack & Queue...,77.0,74.0,"{""pemahaman_teori"": 74, ""logika_algoritma"": 78, ""kerapian_kode"": 73}",72
MHS_146,Struktur Data - Linked List,Teks jawaban simulasi mahasiswa 46 untuk topik Struktur Data - Linked List...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Linked List...,89.0,91.0,"{""analisis_masalah"": 96, ""arsitektur_data"": 87, ""fungsionalitas_program"": 89, ""dokumentasi"": 95}",91
MHS_147,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 47 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,95.0,90.0,"{""pemahaman_teori"": 98, ""logika_algoritma"": 96, ""kerapian_kode"": 93}",94
MHS_148,Struktur Data - Hashing Search,Teks jawaban simulasi mahasiswa 48 untuk topik Struktur Data - Hashing Search...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Hashing Search...,57.0,55.0,"{""pemahaman_teori"": 58, ""logika_algoritma"": 65, ""kerapian_kode"": 54}",58
MHS_149,Struktur Data - Graph Overview,Teks jawaban simulasi mahasiswa 49 untuk topik Struktur Data - Graph Overview...,Teks kunci jawaban ideal dosen untuk topik Struktur Data - Graph Overview...,65.0,66.0,"{""rumusan_masalah_solusi"": 72, ""landasan_teori"": 67, ""desain_sistem"": 65, ""implementasi_program"": 61, ""presentasi_kesimpulan"": 61}",63
