essay_id,gen_score
Basis Data_225,99.0
Basis Data_227,3.0
Basis Data_228,0.0
Basis Data_23,80.0
Basis Data_236,7.0
Basis Data_248,43.0
Basis Data_25,6.0
Basis Data_251,63.0
Basis Data_276,75.0
Basis Data_292,5.0
Basis Data_30,53.0
Basis Data_300,60.0
Basis Data_301,53.0
Basis Data_322,54.0
Basis Data_342,0.0
Basis Data_354,96.0
Basis Data_36,0.0
Basis Data_372,88.0
Basis Data_388,0.0
Basis Data_406,70.0
Basis Data_420,0.0
Basis Data_423,40.0
Basis Data_436,80.0
Basis Data_438,60.0
Basis Data_46,77.0
Basis Data_465,25.0
Basis Data_485,0.0
Basis Data_493,4.0
Basis Data_502,0.0
Basis Data_512,65.0
Basis Data_514,58.0
Basis Data_518,42.0
Basis Data_533,20.0
Basis Data_546,20.0
Basis Data_548,75.0
Basis Data_565,60.0
Basis Data_568,83.0
Basis Data_570,29.0
Basis Data_585,80.0
Basis Data_59,0.0
Basis Data_596,0.0
Basis Data_609,75.0
Basis Data_612,20.0
Basis Data_615,72.0
Basis Data_621,52.0
Basis Data_631,75.0
Basis Data_652,0.0
Basis Data_668,0.0
Basis Data_69,0.0
Basis Data_693,0.0
Basis Data_698,0.0
Basis Data_719,0.0
Basis Data_737,0.0
Basis Data_769,88.0
Basis Data_774,34.0
Basis Data_790,75.0
Basis Data_83,88.0
Jaringan Komputer_134,75.0
Jaringan Komputer_140,50.0
Jaringan Komputer_152,42.0
Jaringan Komputer_162,0.0
Jaringan Komputer_164,72.0
Jaringan Komputer_167,35.0
Jaringan Komputer_17,81.0
Jaringan Komputer_179,2.0
Jaringan Komputer_188,84.0
Jaringan Komputer_190,0.0
Jaringan Komputer_192,27.0
Jaringan Komputer_196,0.0
Jaringan Komputer_2,20.0
Jaringan Komputer_203,70.0
Jaringan Komputer_213,40.0
Jaringan Komputer_233,86.0
Jaringan Komputer_237,80.0
Jaringan Komputer_254,0.0
Jaringan Komputer_259,85.0
Jaringan Komputer_275,80.0
Jaringan Komputer_28,80.0
Jaringan Komputer_3,75.0
Jaringan Komputer_305,30.0
Jaringan Komputer_32,64.0
Jaringan Komputer_329,45.0
Jaringan Komputer_340,8.0
Jaringan Komputer_351,0.0
Jaringan Komputer_387,81.0
Jaringan Komputer_397,70.0
Jaringan Komputer_4,92.0
Jaringan Komputer_42,85.0
Jaringan Komputer_421,0.0
Jaringan Komputer_448,89.0
Jaringan Komputer_45,92.0
Jaringan Komputer_455,59.0
Jaringan Komputer_460,87.0
Jaringan Komputer_462,7.0
Jaringan Komputer_464,80.0
Jaringan Komputer_472,60.0
Jaringan Komputer_479,70.0
Jaringan Komputer_482,70.0
Jaringan Komputer_489,80.0
Jaringan Komputer_490,72.0
Jaringan Komputer_532,85.0
Jaringan Komputer_539,25.0
Jaringan Komputer_541,6.0
Jaringan Komputer_563,20.0
Jaringan Komputer_567,70.0
Jaringan Komputer_597,88.0
Jaringan Komputer_602,95.0
Jaringan Komputer_603,92.0
Jaringan Komputer_620,74.0
Jaringan Komputer_625,0.0
Jaringan Komputer_638,67.0
Jaringan Komputer_650,91.0
Jaringan Komputer_653,90.0
Jaringan Komputer_654,45.0
Jaringan Komputer_681,97.0
Jaringan Komputer_683,70.0
Jaringan Komputer_684,0.0
Jaringan Komputer_691,0.0
Jaringan Komputer_715,0.0
Jaringan Komputer_724,48.0
Jaringan Komputer_728,0.0
Jaringan Komputer_734,0.0
Jaringan Komputer_740,50.0
Jaringan Komputer_747,28.0
Jaringan Komputer_773,94.0
Jaringan Komputer_775,85.0
Jaringan Komputer_777,0.0
Jaringan Komputer_779,92.0
Jaringan Komputer_80,52.0
Jaringan Komputer_95,2.0
PENGANTAR ILMU KOMPUTER_101,35.0
PENGANTAR ILMU KOMPUTER_114,70.0
PENGANTAR ILMU KOMPUTER_123,83.0
PENGANTAR ILMU KOMPUTER_128,25.0
PENGANTAR ILMU KOMPUTER_15,89.0
PENGANTAR ILMU KOMPUTER_150,80.0
PENGANTAR ILMU KOMPUTER_154,65.0
PENGANTAR ILMU KOMPUTER_159,4.0
PENGANTAR ILMU KOMPUTER_18,70.0
PENGANTAR ILMU KOMPUTER_212,80.0
PENGANTAR ILMU KOMPUTER_214,20.0
PENGANTAR ILMU KOMPUTER_245,87.0
PENGANTAR ILMU KOMPUTER_250,47.0
PENGANTAR ILMU KOMPUTER_258,85.0
PENGANTAR ILMU KOMPUTER_280,23.0
PENGANTAR ILMU KOMPUTER_288,0.0
PENGANTAR ILMU KOMPUTER_299,80.0
PENGANTAR ILMU KOMPUTER_302,0.0
PENGANTAR ILMU KOMPUTER_306,0.0
PENGANTAR ILMU KOMPUTER_316,30.0
PENGANTAR ILMU KOMPUTER_319,30.0
PENGANTAR ILMU KOMPUTER_323,30.0
PENGANTAR ILMU KOMPUTER_347,50.0
PENGANTAR ILMU KOMPUTER_365,86.0
PENGANTAR ILMU KOMPUTER_390,90.0
PENGANTAR ILMU KOMPUTER_410,78.0
PENGANTAR ILMU KOMPUTER_431,0.0
PENGANTAR ILMU KOMPUTER_434,25.0
PENGANTAR ILMU KOMPUTER_442,20.0
PENGANTAR ILMU KOMPUTER_445,85.0
PENGANTAR ILMU KOMPUTER_488,70.0
PENGANTAR ILMU KOMPUTER_528,53.0
PENGANTAR ILMU KOMPUTER_529,3.0
PENGANTAR ILMU KOMPUTER_53,70.0
PENGANTAR ILMU KOMPUTER_54,43.0
PENGANTAR ILMU KOMPUTER_545,89.0
PENGANTAR ILMU KOMPUTER_556,40.0
PENGANTAR ILMU KOMPUTER_571,50.0
PENGANTAR ILMU KOMPUTER_573,34.0
PENGANTAR ILMU KOMPUTER_574,37.0
PENGANTAR ILMU KOMPUTER_60,80.0
PENGANTAR ILMU KOMPUTER_63,88.0
PENGANTAR ILMU KOMPUTER_664,84.0
PENGANTAR ILMU KOMPUTER_675,20.0
PENGANTAR ILMU KOMPUTER_679,65.0
PENGANTAR ILMU KOMPUTER_701,86.0
PENGANTAR ILMU KOMPUTER_702,29.0
PENGANTAR ILMU KOMPUTER_708,0.0
PENGANTAR ILMU KOMPUTER_718,0.0
PENGANTAR ILMU KOMPUTER_726,63.0
PENGANTAR ILMU KOMPUTER_738,65.0
PENGANTAR ILMU KOMPUTER_750,0.0
PENGANTAR ILMU KOMPUTER_751,7.0
PENGANTAR ILMU KOMPUTER_753,0.0
PENGANTAR ILMU KOMPUTER_761,40.0
PENGANTAR ILMU KOMPUTER_77,87.0
PENGANTAR ILMU KOMPUTER_781,85.0
PENGANTAR ILMU KOMPUTER_85,0.0
Pemrograman Berorientasi Objek_102,0.0
Pemrograman Berorientasi Objek_107,91.0
Pemrograman Berorientasi Objek_11,0.0
Pemrograman Berorientasi Objek_137,92.0
Pemrograman Berorientasi Objek_138,57.0
Pemrograman Berorientasi Objek_149,0.0
Pemrograman Berorientasi Objek_156,0.0
Pemrograman Berorientasi Objek_158,20.0
Pemrograman Berorientasi Objek_174,42.0
Pemrograman Berorientasi Objek_178,87.0
Pemrograman Berorientasi Objek_180,83.0
Pemrograman Berorientasi Objek_183,87.0
Pemrograman Berorientasi Objek_185,33.0
Pemrograman Berorientasi Objek_195,70.0
Pemrograman Berorientasi Objek_207,62.0
Pemrograman Berorientasi Objek_209,90.0
Pemrograman Berorientasi Objek_235,54.0
Pemrograman Berorientasi Objek_238,59.0
Pemrograman Berorientasi Objek_256,0.0
Pemrograman Berorientasi Objek_268,0.0
Pemrograman Berorientasi Objek_269,0.0
Pemrograman Berorientasi Objek_291,88.0
Pemrograman Berorientasi Objek_296,80.0
Pemrograman Berorientasi Objek_298,80.0
Pemrograman Berorientasi Objek_312,85.0
Pemrograman Berorientasi Objek_317,83.0
Pemrograman Berorientasi Objek_328,78.0
Pemrograman Berorientasi Objek_336,70.0
Pemrograman Berorientasi Objek_339,45.0
Pemrograman Berorientasi Objek_353,78.0
Pemrograman Berorientasi Objek_357,80.0
Pemrograman Berorientasi Objek_362,54.0
Pemrograman Berorientasi Objek_364,80.0
Pemrograman Berorientasi Objek_369,8.0
Pemrograman Berorientasi Objek_40,72.0
Pemrograman Berorientasi Objek_415,75.0
Pemrograman Berorientasi Objek_428,92.0
Pemrograman Berorientasi Objek_437,40.0
Pemrograman Berorientasi Objek_456,50.0
Pemrograman Berorientasi Objek_48,72.0
Pemrograman Berorientasi Objek_501,52.0
Pemrograman Berorientasi Objek_509,45.0
Pemrograman Berorientasi Objek_530,0.0
Pemrograman Berorientasi Objek_536,75.0
Pemrograman Berorientasi Objek_538,85.0
Pemrograman Berorientasi Objek_554,45.0
Pemrograman Berorientasi Objek_559,90.0
Pemrograman Berorientasi Objek_566,80.0
Pemrograman Berorientasi Objek_576,69.0
Pemrograman Berorientasi Objek_582,86.0
Pemrograman Berorientasi Objek_589,88.0
Pemrograman Berorientasi Objek_648,93.0
Pemrograman Berorientasi Objek_656,88.0
Pemrograman Berorientasi Objek_662,86.0
Pemrograman Berorientasi Objek_678,70.0
Pemrograman Berorientasi Objek_680,3.0
Pemrograman Berorientasi Objek_71,46.0
Pemrograman Berorientasi Objek_752,0.0
Pemrograman Berorientasi Objek_76,73.0
Pemrograman Berorientasi Objek_762,70.0
Pemrograman Berorientasi Objek_776,80.0
Pemrograman Berorientasi Objek_778,0.0
Pemrograman Berorientasi Objek_78,80.0
Pemrograman Berorientasi Objek_796,4.0
Pemrograman Berorientasi Objek_799,80.0
Pemrograman Berorientasi Objek_86,42.0
Pemrograman Berorientasi Objek_9,88.0
Pemrograman Berorientasi Objek_92,38.0
Pemrograman Berorientasi Objek_98,85.0
Rekayasa Perangkat Lunak_104,2.0
Rekayasa Perangkat Lunak_109,82.0
Rekayasa Perangkat Lunak_116,83.0
Rekayasa Perangkat Lunak_118,0.0
Rekayasa Perangkat Lunak_121,91.0
Rekayasa Perangkat Lunak_130,75.0
Rekayasa Perangkat Lunak_142,86.0
Rekayasa Perangkat Lunak_147,86.0
Rekayasa Perangkat Lunak_155,70.0
Rekayasa Perangkat Lunak_16,90.0
Rekayasa Perangkat Lunak_161,20.0
Rekayasa Perangkat Lunak_165,52.0
Rekayasa Perangkat Lunak_181,0.0
Rekayasa Perangkat Lunak_201,65.0
Rekayasa Perangkat Lunak_206,52.0
Rekayasa Perangkat Lunak_218,70.0
Rekayasa Perangkat Lunak_219,80.0
Rekayasa Perangkat Lunak_231,75.0
Rekayasa Perangkat Lunak_255,0.0
Rekayasa Perangkat Lunak_261,37.0
Rekayasa Perangkat Lunak_262,75.0
Rekayasa Perangkat Lunak_265,85.0
Rekayasa Perangkat Lunak_295,80.0
Rekayasa Perangkat Lunak_33,50.0
Rekayasa Perangkat Lunak_34,0.0
Rekayasa Perangkat Lunak_360,94.0
Rekayasa Perangkat Lunak_363,85.0
Rekayasa Perangkat Lunak_366,6.0
Rekayasa Perangkat Lunak_374,80.0
Rekayasa Perangkat Lunak_380,79.0
Rekayasa Perangkat Lunak_394,80.0
Rekayasa Perangkat Lunak_398,0.0
Rekayasa Perangkat Lunak_403,84.0
Rekayasa Perangkat Lunak_411,0.0
Rekayasa Perangkat Lunak_424,0.0
Rekayasa Perangkat Lunak_430,84.0
Rekayasa Perangkat Lunak_440,90.0
Rekayasa Perangkat Lunak_441,85.0
Rekayasa Perangkat Lunak_481,80.0
Rekayasa Perangkat Lunak_484,49.0
Rekayasa Perangkat Lunak_487,0.0
Rekayasa Perangkat Lunak_49,80.0
Rekayasa Perangkat Lunak_5,85.0
Rekayasa Perangkat Lunak_516,70.0
Rekayasa Perangkat Lunak_517,96.0
Rekayasa Perangkat Lunak_523,89.0
Rekayasa Perangkat Lunak_542,92.0
Rekayasa Perangkat Lunak_543,0.0
Rekayasa Perangkat Lunak_555,0.0
Rekayasa Perangkat Lunak_562,50.0
Rekayasa Perangkat Lunak_581,6.0
Rekayasa Perangkat Lunak_583,85.0
Rekayasa Perangkat Lunak_601,75.0
Rekayasa Perangkat Lunak_616,82.0
Rekayasa Perangkat Lunak_62,84.0
Rekayasa Perangkat Lunak_635,78.0
Rekayasa Perangkat Lunak_637,85.0
Rekayasa Perangkat Lunak_642,85.0
Rekayasa Perangkat Lunak_644,85.0
Rekayasa Perangkat Lunak_663,90.0
Rekayasa Perangkat Lunak_67,87.0
Rekayasa Perangkat Lunak_685,7.0
Rekayasa Perangkat Lunak_694,77.0
Rekayasa Perangkat Lunak_70,80.0
Rekayasa Perangkat Lunak_707,43.0
Rekayasa Perangkat Lunak_716,20.0
Rekayasa Perangkat Lunak_723,86.0
Rekayasa Perangkat Lunak_725,30.0
Rekayasa Perangkat Lunak_748,0.0
Rekayasa Perangkat Lunak_749,65.0
Rekayasa Perangkat Lunak_770,88.0
Rekayasa Perangkat Lunak_787,0.0
Rekayasa Perangkat Lunak_789,0.0
Rekayasa Perangkat Lunak_791,0.0
Rekayasa Perangkat Lunak_81,92.0
Rekayasa Perangkat Lunak_90,9.0
Sistem Operasi_106,86.0
Sistem Operasi_119,50.0
Sistem Operasi_124,92.0
Sistem Operasi_145,63.0
Sistem Operasi_160,75.0
Sistem Operasi_173,77.0
Sistem Operasi_176,0.0
Sistem Operasi_186,0.0
Sistem Operasi_198,92.0
Sistem Operasi_204,6.0
Sistem Operasi_229,49.0
Sistem Operasi_234,38.0
Sistem Operasi_263,48.0
Sistem Operasi_277,69.0
Sistem Operasi_281,0.0
Sistem Operasi_290,50.0
Sistem Operasi_310,80.0
Sistem Operasi_318,80.0
Sistem Operasi_327,83.0
Sistem Operasi_331,80.0
Sistem Operasi_335,35.0
Sistem Operasi_358,73.0
Sistem Operasi_377,82.0
Sistem Operasi_385,0.0
Sistem Operasi_392,40.0
Sistem Operasi_401,0.0
Sistem Operasi_407,83.0
Sistem Operasi_408,24.0
Sistem Operasi_413,0.0
Sistem Operasi_419,72.0
Sistem Operasi_433,72.0
Sistem Operasi_458,45.0
Sistem Operasi_467,92.0
Sistem Operasi_477,0.0
Sistem Operasi_492,95.0
Sistem Operasi_503,62.0
Sistem Operasi_506,70.0
Sistem Operasi_511,70.0
Sistem Operasi_515,79.0
Sistem Operasi_52,69.0
Sistem Operasi_521,47.0
Sistem Operasi_527,0.0
Sistem Operasi_547,84.0
Sistem Operasi_552,80.0
Sistem Operasi_56,92.0
Sistem Operasi_57,0.0
Sistem Operasi_587,85.0
Sistem Operasi_590,0.0
Sistem Operasi_606,84.0
Sistem Operasi_619,75.0
Sistem Operasi_630,75.0
Sistem Operasi_658,39.0
Sistem Operasi_660,0.0
Sistem Operasi_665,0.0
Sistem Operasi_673,0.0
Sistem Operasi_682,20.0
Sistem Operasi_687,86.0
Sistem Operasi_700,43.0
Sistem Operasi_705,70.0
Sistem Operasi_714,85.0
Sistem Operasi_736,80.0
Sistem Operasi_74,67.0
Sistem Operasi_758,0.0
Sistem Operasi_768,80.0
Sistem Operasi_788,87.0
Sistem Operasi_792,95.0
Sistem Operasi_793,75.0
Sistem Operasi_91,86.0
Struktur Data_110,0.0
Struktur Data_112,20.0
Struktur Data_148,0.0
Struktur Data_177,80.0
Struktur Data_182,75.0
Struktur Data_187,90.0
Struktur Data_223,70.0
Struktur Data_226,0.0
Struktur Data_242,85.0
Struktur Data_243,79.0
Struktur Data_252,73.0
Struktur Data_266,85.0
Struktur Data_270,72.0
Struktur Data_273,40.0
Struktur Data_285,95.0
Struktur Data_287,70.0
Struktur Data_297,75.0
Struktur Data_309,0.0
Struktur Data_31,84.0
Struktur Data_311,0.0
Struktur Data_349,96.0
Struktur Data_352,0.0
Struktur Data_355,0.0
Struktur Data_361,79.0
Struktur Data_37,0.0
Struktur Data_378,80.0
Struktur Data_38,94.0
Struktur Data_386,58.0
Struktur Data_393,74.0
Struktur Data_396,56.0
Struktur Data_400,80.0
Struktur Data_41,95.0
Struktur Data_414,75.0
Struktur Data_435,94.0
Struktur Data_457,28.0
Struktur Data_459,81.0
Struktur Data_461,80.0
Struktur Data_47,25.0
Struktur Data_486,92.0
Struktur Data_494,75.0
Struktur Data_500,0.0
Struktur Data_504,98.0
Struktur Data_513,8.0
Struktur Data_535,80.0
Struktur Data_544,89.0
Struktur Data_58,0.0
Struktur Data_605,70.0
Struktur Data_608,86.0
Struktur Data_61,87.0
Struktur Data_618,0.0
Struktur Data_634,90.0
Struktur Data_636,72.0
Struktur Data_645,3.0
Struktur Data_657,0.0
Struktur Data_674,80.0
Struktur Data_686,60.0
Struktur Data_690,75.0
Struktur Data_699,78.0
Struktur Data_721,0.0
Struktur Data_727,0.0
Struktur Data_73,0.0
Struktur Data_741,85.0
Struktur Data_745,85.0
Struktur Data_754,70.0
Struktur Data_763,0.0
Struktur Data_765,70.0
Struktur Data_783,0.0
Struktur Data_784,50.0
Struktur Data_8,92.0
Web Programming_100,3.0
Web Programming_103,30.0
Web Programming_113,0.0
Web Programming_117,90.0
Web Programming_125,75.0
Web Programming_13,48.0
Web Programming_133,0.0
Web Programming_135,74.0
Web Programming_153,32.0
Web Programming_172,80.0
Web Programming_184,82.0
Web Programming_19,0.0
Web Programming_191,85.0
Web Programming_199,89.0
Web Programming_202,75.0
Web Programming_216,60.0
Web Programming_230,68.0
Web Programming_26,20.0
Web Programming_260,20.0
Web Programming_286,35.0
Web Programming_289,85.0
Web Programming_294,34.0
Web Programming_303,60.0
Web Programming_308,79.0
Web Programming_314,80.0
Web Programming_325,75.0
Web Programming_344,85.0
Web Programming_345,64.0
Web Programming_35,80.0
Web Programming_367,70.0
Web Programming_368,70.0
Web Programming_371,40.0
Web Programming_375,78.0
Web Programming_381,0.0
Web Programming_382,75.0
Web Programming_383,77.0
Web Programming_391,0.0
Web Programming_404,85.0
Web Programming_425,0.0
Web Programming_427,85.0
Web Programming_432,0.0
Web Programming_453,85.0
Web Programming_454,74.0
Web Programming_463,6.0
Web Programming_466,5.0
Web Programming_470,75.0
Web Programming_471,75.0
Web Programming_473,60.0
Web Programming_478,75.0
Web Programming_480,33.0
Web Programming_51,0.0
Web Programming_522,85.0
Web Programming_540,75.0
Web Programming_55,2.0
Web Programming_551,75.0
Web Programming_553,94.0
Web Programming_558,36.0
Web Programming_560,70.0
Web Programming_575,63.0
Web Programming_577,85.0
Web Programming_580,43.0
Web Programming_584,80.0
Web Programming_586,89.0
Web Programming_588,30.0
Web Programming_6,30.0
Web Programming_611,0.0
Web Programming_639,0.0
Web Programming_64,0.0
Web Programming_641,80.0
Web Programming_643,20.0
Web Programming_647,89.0
Web Programming_672,42.0
Web Programming_697,80.0
Web Programming_713,80.0
Web Programming_730,85.0
Web Programming_75,70.0
Web Programming_764,69.0
Web Programming_767,30.0
Web Programming_780,42.0
Web Programming_795,58.0
Web Programming_82,30.0
Web Programming_87,40.0
Web Programming_89,0.0
Web Programming_96,30.0
Web Programming_97,55.0
Web Programming_99,83.0
